id,HOTEL,OWNER,STREETNO1,STREET,STREETNO2,STREETNO3,POSTCODE,EASTING,GRADE,NORTHING,ROOMS
142,The Lodge Hotel,,6,Hampton Terrace,,,EH125JD,323340,4* GH,673176,12
143,Kirklea Guest House,,11,Harrison Road,,,EH111EG,323466,3*GH,672182,6
144,Apex European Hotel,Apex Hotels,90,Haymarket Terrace,,,EH125LQ,323719,4* HO,673251,66
145,Merith House Hotel,,2,Hermitage Place,to,3,EH68AF,327443,1,675744,10
146,Culane House Hotel,,9,Hermitage Place,,,EH68AF,327394,n/a,675736,10
147,Park View House Hotel,,14,Hermitage Place,,,EH68AF,327345,n/a,675725,16
148,Radisson SAS [formerly Crowne Plaza],Radisson SAS,80,High Street,,,EH11TH,325993,4* HO,673642,228
149,Brodies Hostel,,93,High Street,,,EH11SG,326024,HS,673692,130
150,Stag Head Hotel,,8,"High Street, South Queensferry",,,EH309PP,312963,n/a,678388,5
151,Orocco Pier Hotel [formerly Queensferry Arms Hotel],,17,"High Street, South Queensferry",,,EH309PP,312985,2,678362,15
152,Ten Hill Place,Royal College of Surgeons of Edinburgh,10,Hill Place,,,EH89DS,326165,n/a,673216,78
153,Two Hillside Crescent,,2,Hillside Crescent,,,EH7  5DY,326376,n/a,674526,5
154,Salisbury Green Hotel,Edinburgh University,18,Holyrood Park Road / Dalkeith Road,,,EH165AW,326938,3* HO,672291,36
155,Holyrood Hotel,Macdonald Hotels,81,Holyrood Road,,,EH88UA,326598,4* HO,673728,157
156,Hudson Hotel,Festival Hotels Ltd.,7,Hope Street,to,11,EH24EL,324674,n/a,673739,33
157,Cameron Hotel,,17,Hopetoun Crescent,,,EH74AY,326210,n/a,674955,
158,Hotel Ibis,,6,Hunter Square,,,EH11QW,325904,2* HO,673592,97
159,Norton House Hotel,Hand Picked Hotels,,Ingliston,,,EH288LX,313617,4* HO,671925,83
160,Quality Hotel (formerly Royal Highland Lodge),Ingliston Hotels Ltd.,101,Ingliston Road / Royal Highland Showground,,,EH288NF,314210,3* HO,673115,100
161,Inverleith Hotel [formerly Lovat Hotel],,5,Inverleith Terrace,,,EH35NS,325023,3* SH,675203,10
162,Jurys Inn,Jurys,43,Jeffrey Street,,,EH11DH,326013,3* HO,673761,186
163,Rockville House Hotel,,2,Joppa Pans,,,EH152HF,332150,n/a,673393,6
164,Seahaven Hotel,,89,Joppa Road,to,91,EH152HB,331640,1,673384,13
165,Kew House,,1,Kew Terrace,,,EH125JE,323280,n/a,673173,6
166,Premier Inn Edinburgh Airport (Newbridge),Whitbread,2,Kirkliston Road,A,,EH288SN,312032,n/a,673264,119
167,Riccarton Arms Hotel,,198,Lanark Road West,,,EH145NX,318210,2* IN,667810,5
168,Northfield House Hotel,,115,Lasswade Road,,,EH166UD,327995,n/a,668850,4
169,Marriott Residence Inn Edinburgh,,1,Lauriston Place,,,EH39EE,325600,SA 5*,673028,112
170,Best Western Edinburgh City Hotel [formerly Simpson Hotel],Bonnington House Ltd.,79,Lauriston Place,,,EH39HY,325090,n/a,673027,52
171,Novotel,Accor,80,Lauriston Place,,,EH39DG,325160,4* HO,673110,180
172,Premier Inn Edinburgh City Lauriston Place,Whitbread Group,82,Lauriston Place,,,EH39HZ,325140,2,673085,112
173,The Knight Residence,,12,Lauriston Street,,,EH39DJ,325048,5*SA,673138,25
174,Travelodge Edinburgh Learmonth,Festival Inns,18,Learmonth Terrace,to,20,EH41PW,323953,4,674287,68
175,Thistle Hotel Edinburgh,Thistle Hotels (Mount Charlotte),107,Leith Street,,,EH13SW,325920,3* HO,674130,143
176,Hotel Twenty [formerly Richmond House Hotel],,20,Leopold Place,,,EH75LB,326349,2 SH,674520,12
177,Adelphi Hotel [formerly Camore Hotel],,7,Links Gardens,,,EH67JH,327585,2,676032,10
178,Abbot's House Hotel,,10,Links Place,,,EH67EZ,327460,n/a,676167,45
179,Lochend Serviced Apartments,,147,Lochend Road,,,EH76ET,327663,SA 4*,675120,42
180,Novotel,Branded Hotel and Leisure Company Ltd. (applicants),15,Lochside Avenue,,,EH129DJ,318200,HO 4*,671190,170
181,Ramada Jarvis Mount Royal Hotel,,53,Princes Street,,,EH22DG,325511,3* HO,673938,158
182,Royal Overseas League,,100,Princes Street,,,EH2 3AB,325152,3*SH,673834,20
183,Premier Inn Princes Street,,121,Princes Street,"122,",123,EH24AD,324362,n/a,673717,103
184,easyHotel,Parcotel Ltd,125,Princes Street,A,,,324891,n/a,673753,29
185,Travelodge,,30,Queen Street,-,31,EH2 1JX,325161,n/a,674135,85
186,Queen's Guest House,,45,Queen Street,,,EH23NH,325019,n/a,674097,13
187,Holiday Inn Edinburgh West,,107,Queensferry Road,,,EH43HL,322491,3* HO,674340,101
188,Caledonian Backpackers Hostel,,3,Queensferry Street,,,EH24PA,324615,HS,673682,270
189,Travelodge Edinburgh Central Rose Street,,39,Rose Street,-,47,EH22NH,325293,n/a,325293,40
190,Glenora Guest House,,14,Rosebery Crescent,,,EH125JY,323937,4* GH,673246,11
191,B+B Edinburgh [formerly Melvin House Hotel],,3,Rothesay Terrace,,,EH37RY,324057,n/a,673770,22
192,The Edinburgh Residence,,7,Rothesay Terrace,,,EH37RY,324060,5*TH,673772,29
193,Halcyon Hotel,,8,Royal Terrace,,,EH75AB,326419,1* GH,674379,14
194,Abbey Hotel [formerly Greenside Hotel],,9,Royal Terrace,,,EH75AB,326427,3* SH,674379,14
195,Adria Hotel,,11,Royal Terrace,to,12,EH75AB,326453,3* GH,674378,17
196,Royal Terrace Hotel,Principal Hotels,17,Royal Terrace,to,22,EH75AQ,326522,4* HO,674375,107
197,Ailsa Craig Hotel,,24,Royal Terrace,,,EH75AH,326562,3* SH,674370,18
198,Terrace Hotel,,37,Royal Terrace,,,EH75AH,326685,2,674363,14
199,Rutland Hotel,Signature Pub Group,3,Rutland Street,,,EH12AE,324666,n/a,673640,12
200,Salisbury Hotel,,43,Salisbury Road,-,45,EH165AA,326568,4*SH,672264,18
201,Cityroomz,Sleeperz Hotels,25,Shandwick Place,A,,EH24RG,324595,2,673606,74
202,Edinburgh Nights Hostel [formerly City Centre Guest House Hostel],Mr. Tullis,85,Shandwick Place,-,87,EH24SD,324529,HS,673555,74
203,Bank Hotel,Festival Inns Ltd.,1,South Bridge,to,3,EH11LL,325956,2* IN,673636,9
204,Channings,The Town House Company,12,South Learmonth Gardens,to,16,EH41EZ,323999,4* HO,674360,41
205,MW Town House,,11,Spence Street,,,EH165AG,326987,4*GH,672075,8
206,Fraser Suites,,12,St Giles Street,-,26,EH1  1PT,325664,n/a,673646,75
207,Alba Executive Apartments,,58,St. Alban's Road,-,62,EH92LX,326098,SA 5*,671410,11
208,Tudorbank Lodge,,18,St. John's Road,,,EH126NY,320377,n/a,672887,6
209,The White Lady [formerly the Agenda Hotel; formerly the Westbury Hotel],,92,St. John's Road,to,98,EH128AT,319995,n/a,672962,29
210,Innkeepers Lodge Edinburgh West [formerly Harp Hotel],,116,St. John's Road,,,EH128AX,319926,n/a,672967,25
211,Corstorphine Lodge Hotel,,186,St. John's Road,,,EH12  8SG,319574,3,673023,8
212,Travelodge Edinburgh Central,,33,St. Mary's Street,,,EH11TA,326180,n/a,673568,201
213,Gillis Centre,Archdiocese of St. Andrews and Edinburgh,100,Strathearn Road,,,EH91BB,325084,n/a,671892,20
214,Malmaison,,1,Tower Place,,,EH67DB,327187,4* HO,676706,100
215,Princes Street Suites,,16,Waterloo Place,,,,325990,SA,674029,37
216,Travelodge Edinburgh Central,Craypool Investments,17,Waterloo Place,-,19,EH13BG,325938,n/a,674055,96
217,Apex Waterloo Place,,23,Waterloo Place,to,27,EH13BH,326011,n/a,674078,182
218,Cumberland Hotel,,1,West Coates,,,EH125JQ,323408,3* SH,673248,10
219,Dunstane House Hotel,,4,West Coates,,,EH125JQ,323334,4* SH,673238,20
220,Duthus Lodge Guest House,,5,West Coates,,,EH125JG,323297,3*GH,673239,4
221,Original Raj Hotel,,6,West Coates,,,EH125JG,323590,n/a,673191,17
222,Edinburgh Waterfront Apartments / Hot-el-Apartments,,,Western Harbour View,,,,325859,SA,677683,26
223,Premier Inn Edinburgh East,Whitbread,228,Willowbrae Road,,,EH8 7NG,329070,n/a,673199,47
224,Lyncliff Hotel,,4,Windsor Street,,,EH75JR,326258,n/a,674537,10
225,Cairn Hotel,,10,Windsor Street,to,18,EH75JR,326276,3,674575,62
226,Blue Rainbow Apartments [formerly Royal Garden Apartments],Blue Rainbow Apartments,,"York Buildings, Queen Street",,,EH21JB,325579,n/a,674298,30
227,Ballantrae Albany Hotel [formerly Albany Hotel],,11,York Lane / 39-47 Albany Street,to,13,EH13QY,325791,n/a,674445,21
228,Ballantrae Hotel,Ballantrae Hotel Group,8,York Place,,,EH13EP,325648,3* SH,674322,
229,York House Hotel,,27,York Place,,,,325780,n/a,674307,20
230,The Place [formerly York Place B&B],Cameron Guest House Group,34,York Place,-,38,EH13HU,325790,n/a,674310,48
231,Hotel Indigo Edinburgh,Sojourn Hotels LLP / IHG / Indigo Hotels,51,York Place,-,59,EH13JD,325886,n/a,674338,60
232,Fountain Court Stewart Apartments,GSS Developments (Aberdeen) Ltd.,10,Young Street,-,12,EH2 4JB,324854,n/a,673972,31
