Site,Location,Ashtray,Type,Direction,Easting,Northing
"St Bernard's Row","Outside number 4, Bert's Bar",Yes,Topsy,SB,324552.79,674647.25
"St Stephen Street","Outside number 05",Yes,Topsy,EB,324717.15,674497.86
"Arboretum Avenue","By bench at river 01",No,"Derby Slimline",SB,324447.17,674886.51
"Arboretum Avenue","By Bench at River",No,"Derby Slimline",SB,324478.74,674809.05
"Arboretum Avenue","Outside rocheid path entrance",Yes,Wybone,WB,324456.9,675050.23
"Inverleith Place",,Yes,"Derby Standard Green","Not Applicable",323999.09,675359.59
"Brandon Street","Bus stop at number 20",Yes,Neopolitan,NB,325084.58,674901.54
"Telford Road","Bus stop at entrance to Hospital",Yes,Wybone,WB,322770.25,675186.76
"Telford Road","Outside number 46",Yes,Wybone,WB,322179.35,674886.31
"Telford Road","Outside number 25",Yes,Wybone,WB,321706.14,674905.96
"Telford Road","Outside number 18",Yes,Wybone,WB,321741.41,674884.58
"Telford Road","Outside 36",Yes,Wybone,WB,321919.79,674873.08
"Telford Road","Outside 60",Yes,Wybone,WB,322321.51,674906.29
"Telford Road","Outside 87",Yes,Wybone,EB,322379.07,674942.28
"Telford Road","Outside Mcdonalds",Yes,"Derby Double Slimline",WB,322537.25,674968.78
Canonmills,"Opposite Petrol Station",Yes,Neopolitan,SB,325281.9,675046.33
"Silverknowes Neuk","At lamppost SKA 01",Yes,Barnsley,NB,321368.56,675429.54
"Telford Road - SR Number 204 - 248","Outside 244",Yes,Wybone,WB,322873.57,675598.47
"Telford Road - SR Number 107 - 219","Bus stop at 113",Yes,Wybone,EB,322637.76,675059.8
"Telford Road - SR Number 107 - 219","Bus stop opposite 234",Yes,Wybone,EB,322834.65,675572.26
"Telford Road - SR Number 107 - 219","Outside 163",Yes,Wybone,EB,322774.75,675243.46
"Eyre Terrace","NEW SITE WALK ?",Yes,"Derby Standard Green","Not Applicable",325287.14,674806.08
"Rodney Street","Outside beer hive",Yes,Neopolitan,SB,325438.93,674992.13
"Rodney Street","Outside primary school",Yes,Topsy,NB,325468.32,674954.78
"Rodney Street","44rodney St at bus stop",Yes,"Derby Slimline",SB,325468.41,674963.35
"Rodney Street","Yoga centre bus stop",Yes,"Derby Slimline",NB,325423.32,674992.18
"Rodney Street","Outside 44",Yes,Wybone,SB,325473.08,674962.93
"Rodney Street","Outside edinburgh bike co op",Yes,Topsy,SB,325432.6,674990.69
"Crewe Road South","At bus stop at traffic lights",Yes,"Wybone S/L",NB,323167.29,675157.51
"Crewe Road South","Opposite 109 at bus stop",No,"Derby Standard",SB,323084.83,675403.79
"Howard Place","Bus stop at warriston playing fields entrance",No,Neopolitan,SB,325022.74,675308.95
"Cycle Track-Inverleith Pk","Junction of cycleways",Yes,"Derby Standard Green",WB,324165.53,675045.41
"Cycle Track-Inverleith Pk","Inside playpark","Not Applicable",Routemaster,"Not Applicable",324374.31,675046.98
"Cycle Track-Inverleith Pk","Outside playpark",Yes,"Derby Standard Green","Not Applicable",324373.88,675043.64
"Cycle Track-Inverleith Pk","Inside playpark",No,Routemaster,"Not Applicable",324387.82,675069
"Cycle Track-Inverleith Pk","Junction of cycleways",Yes,"Derby Standard Green",SB,324155.57,675036.23
"Cycle Track At King George Iv Park","In playpark",No,Routemaster,"Not Applicable",325449.2,674835.43
"Telford Road","Opposite telford drive at bus stop",Yes,"Derby Slimline",SB,322838.74,675493.92
"Telford Road","Opposite telford drive at bus stop",Yes,"Derby Slimline",SB,322838.74,675493.92
"Portgower Place","Outside entrance to The Grange Club",Yes,"Derby Slimline",EB,324277.14,674800.97
"Comely Bank Avenue","OutsideTrue jesus church",Yes,"Derby Standard",NB,323985.53,674788.4
"Belford Road","Outside drumsheugh baths club",Yes,"Derby Slimline",EB,324160.95,673868.5
"Belford Road","Outside church",No,Neopolitan,SB,323502.27,673955.85
"Orchard Brae","Opposite 89",Yes,Wybone,SB,323586.46,674569.02
"Montagu Terrace","Outside No 16 at bus stop",Yes,Neopolitan,SB,324710.79,675892.4
"Inverleith Row","Opposite  No 38",Yes,Topsy,SB,324775.96,675763.01
"Inverleith Park","On pathway",Yes,"Wybone S/L",WB,324413.58,674974.92
"King George V Park Eyre Place","Inside playpark",No,Routemaster,"Not Applicable",325359.45,674855.79
"Bell's Mills","At entrance to walkway",Yes,"Wybone S/L",EB,323792.74,673685.28
"Bell's Mills","Opposite Britannia hotel",Yes,"Derbt Slimline",EB,323772.95,673774.69
"Saunders Street","At benches in market area",No,"Full Edinburgh",EB,324644,674513.77
"Dean Path","Entrance to leith walkway",Yes,Topsy,NB,323931.05,673994.13
"Ravelston Park","In park opposite 27 craigcrook road",Yes,"Derby Standard Green","Not Applicable",321730.48,674386.14
Damside,,"Not Applicable","Not Applicable","Not Applicable",324074.05,673942.4
Damside,"In playpark",No,"Derby Standard","Not Applicable",324073.82,673943.62
"Wester Drylaw Drive","Within park area",Yes,Barnsley,NB,321456.62,675386.88
"Easter Drylaw Park Play Area","Inside playpark",No,"Derby Standard","Not Applicable",322477.43,675137.69
"Hillpark Rise","At corstorphine hill footpath",No,"Half Edinburgh",NB,320729,674519.37
"Wester Drylaw Row","Behind 13 wester drylaw row on cycle path",Yes,Barnsley,"Not Applicable",322065.51,674970.57
