Site,Location,Ashtray,Type,Direction,Easting,Northing
"Queensferry Road","Outside 17 Learnmounth Terrace",Yes,Wybone,EB,323980.83,674252.98
"Queensferry Road","Outside 7 Buckingham Terrace",Yes,Wybone,WB,324202.11,674146.28
"Queensferry Road","Outside Esso garage",Yes,Wybone,WB,322467.24,674388.47
"Queensferry Road","At bus stop opposite 25 Learmonth Terrace",Yes,Wybone,WB,323879.68,674230.88
"Queensferry Road","Outside No. 2 Seaforth Terrace",Yes,Wybone,SB,322048.76,674565.18
"Queensferry Road","At bus stop outside Cramond Brig",Yes,Wybone,EB,317826.03,675506.97
"Queensferry Road","At junction of Clermiston Road",Yes,"Derby Slimline",WB,319993.47,675063.34
"Queensferry Road","Opposite 8 marischal place",No,"Derby Standard",EB,322207,674467.32
"Queensferry Road","at bus stop 246360",Yes,"Derby Slimline",NB,318042.09,675172.62
"Queensferry Road","opposite park",Yes,Wybone,WB,322934.22,674205.5
"Queensferry Road","At bus stop opposite Stewart Melville College",Yes,Wybone,EB,323545.88,674224.27
"Queensferry Road","at back gate to RHS",No,Routemaster,EB,319991.96,675081.17
"Queensferry Road","at bus stop 203610",Yes,"Derby Slimline",EB,319959.21,675073.93
"Queensferry Road","at bus stop 203630",No,"Derby Slimline",EB,320449.97,675145.57
"Queensferry Road","Outside number 565",Yes,"Derby Slimline",WB,318737.67,674930.38
"Queensferry Road","Opposite No. 551",Yes,"Derby Slimline",EB,318977.85,674913.31
"Queensferry Road","Outside aitken builders",Yes,"Derby Slimline",WB,318946.78,674900.93
"Main Street","At bus stop outside 1b",Yes,Wybone,EB,312343.89,674613.77
"Main Street","At footpath next to 1b opposite newsagent",Yes,"Derby Standard",EB,312371.42,674606.8
"Main Street","Opposite 118 at footpath",Yes,Wybone,WB,312414.46,674579.49
"Main Street","At bus stop outside 21",Yes,Wybone,EB,312501.56,674577.46
"Main Street","At War Memorial",Yes,"Derby Standard",EB,312580.57,674581.01
"Main Street","New liston Arms pub",Yes,"Derby Standard",WB,312544.61,674559.23
"Main Street","Walkway at substation",Yes,"Derby Slimline Green",EB,312041.74,674623.04
"Main Street","At bus stop outside 68",Yes,"Derby Slimline",WB,312452.51,674573.55
"Main Street","At newsagent number 18",Yes,Wybone,WB,312367.75,674593.95
"Station Road","At pathway to park",Yes,Neopolitan,EB,313179.34,678085.71
"Station Road","Opposite station",Yes,Barnsley,EB,313854.64,677968.31
"Station Road","Outside station beneath bridge",No,"Half Edinburgh","Not Applicable",313856.87,677952.11
"Station Road","Top of footpath",Yes,Wybone,EB,313567.86,678015.83
"Station Road","Next to power station",Yes,Neopolitan,NB,313556.05,678104.4
"Station Road","Outside school",Yes,"Half Edinburgh",EB,313510.28,678024.22
"Station Road","Outside school",No,"Half Edinburgh",EB,313346.49,678045.46
"Station Road","Within Park",No,"Derby Standard Green",EB,313203.14,678104.97
"The Vennel","at junction with Hawthorn Bank",No,"Half Edinburgh",SB,313047.12,678248.41
"Kirkliston Road","At junction of scotstoun avenue",No,"Half Edinburgh",SB,312975.51,677623.7
"Kirkliston Road","Lovers lane",Yes,Topsy,SB,312979.21,677673.15
"Kirkliston Road","Outside 12 at Bus Stop",No,Amberol,NB,312944.55,677985.09
"Ingliston Interchange","Over airport underpass",Yes,Wybone,WB,315203.64,672372.71
"Cycle Track - Port Edgar To Dalmeny","Ferry glen walkway",Yes,Barnsley,EB,312942.49,678200.46
"Cycle Track - Port Edgar To Dalmeny","Ferry glen walkway",Yes,Barnsley,EB,313189.65,678202.29
"Bridleway - Port Edgar To Dalmeny","Beneath bridge on Ferry glen walkway",Yes,Barnsley,EB,313790.18,678213.27
"Bridleway - Port Edgar To Dalmeny","At Junction",Yes,Barnsley,EB,313456.35,678224.25
"Newhalls Road","Bottom of path",Yes,Brunel,WB,313339.22,678275.77
"Newhalls Road","Outside 20",Yes,Brunel,WB,313261.51,678291.99
"Newhalls Road","End of pier",Yes,Brunel,EB,313415.25,678287.52
"Newhalls Road","Outside Boat House",Yes,Brunel,EB,313677.43,678372.49
"Newhalls Road","Outside Anchor Inn",Yes,Brunel,WB,313215.12,678299.26
"Promenade -Cramond",,No,Barnsley,EB,320275.44,677052.78
"Promenade -Cramond",,No,Brunel,EB,319443.73,676987.62
"Promenade -Cramond",,No,Brunel,EB,319510.81,676981
"Promenade -Cramond",,Yes,Barnsley,EB,319613.51,676961.94
"Promenade -Cramond",,No,Brunel,EB,319793.54,677005.58
"Promenade -Cramond",,Yes,Barnsley,EB,319227.59,677054.28
"Promenade -Cramond",,Yes,Barnsley,EB,319178.73,677050.98
"Promenade -Cramond",,No,Brunel,EB,319396.74,677003.77
"Promenade -Cramond",,Yes,Barnsley,EB,319196.12,677052.43
"Promenade -Cramond",,Yes,"Derby Standard Green",EB,321622.97,677067.37
"Promenade -Cramond",Swop,Yes,"Derby Standard",EB,321504.84,677144.96
"Promenade -Cramond","Bottom of path from car park",Yes,Barnsley,EB,319136.49,677039.59
"Promenade -Cramond",,Yes,Barnsley,EB,319085.49,677073.27
"Promenade -Cramond",,Yes,Barnsley,NB,318983.89,677135.52
"Promenade -Cramond",,Yes,"Derby Slimline",EB,319299.02,677046.63
"Promenade -Cramond",,Yes,Barnsley,EB,319278.93,677048.29
"Promenade -Cramond",,Yes,Barnsley,EB,320142.06,677057.72
"Promenade -Cramond",,Yes,Barnsley,EB,319937.34,677051.14
"Promenade -Cramond","On foreshore walk",Yes,"Derby Slimline Green",WB,321373.27,676996.72
"Promenade -Cramond","ON prom",Yes,"Derby Standard Green",NB,321874.39,677152.07
"Promenade -Cramond",,Yes,Barnsley,EB,319003.81,677174.87
"East Barnton Avenue",,Yes,"Derby Slimline Green",NB,320376.6,675340.82
"East Barnton Avenue",,No,Routemaster,"Not Applicable",320350.06,675362.23
"East Barnton Avenue",,Yes,"Derby Slimline Green",NB,320169.22,675335.23
"East Barnton Avenue",,Yes,"Derby Slimline Green",NB,320180.58,675266.41
"East Barnton Avenue","Within park",Yes,"Derby Slimline Green",NB,320421.44,675352.74
"East Barnton Avenue","Within park play area",Yes,"Derby Slimline Green",EB,320354.09,675318.38
"East Barnton Avenue","At staert of grassed area near 36",Yes,"Derby Slimline Green",EB,320218.71,675356.62
"East Barnton Avenue","At start of grass area on corner near 36",No,"Half Edinburgh",EB,320232.23,675367.16
"East Barnton Avenue","Opposite 12 At park entrance",Yes,"Derby Standard",NB,320420.76,675396.73
"East Barnton Avenue","Outside Royal High School",Yes,"Derby Standard",EB,320139.91,675485.58
"East Barnton Avenue","Outside Royal High School",Yes,"Derby Standard",EB,320150.45,675462.91
"Barnton Avenue","at corner with Barnton Avenue",Yes,"Derby Double Slimline",NB,320443.55,675569.83
"Barnton Gardens","at bus stop 203790","Not Applicable","Not Applicable","Not Applicable",320306.97,675780.15
"Lovers' Lane","Outside 2",No,Neopolitan,EB,313251.7,677607.36
"Lovers' Lane","at shopping centre",No,Neopolitan,EB,313278.88,677610.2
"Lovers' Lane","Outside Scotnid",No,Neopolitan,EB,313225.7,677607.21
"Lovers' Lane","Bus stop Opposite Summerville",No,Topsy,EB,313676.69,677508.8
"Lovers' Lane","Outside shops",No,Neopolitan,NB,313238.33,677607.99
"Harbour Lane","At harbour slip",Yes,Brunel,EB,312883.62,678449.64
"Hillwood Place","At start of pier",Yes,Brunel,EB,312968.76,678424.5
"Farquhar Terrace","At 52",No,"Half Edinburgh","Not Applicable",312236.09,678375.88
"Liston Place","Outside local shop",Yes,"Derby Standard",WB,312245.97,674508.29
"Maybury Road","By bus stop at Walkway",Yes,Wybone,NB,318446.45,674607.39
"Maybury Road","At lampost mfc136",Yes,"Derby Slimline",NB,318475.44,674717.01
"Maybury Road","Halfway between lights and roundabout",No,"Not Applicable",NB,318272.83,674237.26
"Maybury Road","At start of walkway",Yes,"Derby Slimline",SB,318521.25,674788.06
"Maybury Road","20 meters south of east craigs",Yes,Wybone,SB,318023.5,673451.59
"Maybury Road","Outside 11",Yes,Wybone,NB,318091.66,672861.52
"Maybury Road","Opposite No. at bus stop",Yes,Wybone,SB,318107.57,672861.17
Riverside,"East end of car park",Yes,Barnsley,EB,319097.15,677009.91
Riverside,"Top of steps in car park",Yes,"Derby Slimline",NB,319055.14,677055.2
Riverside,"At end of prom before walkway",Yes,Barnsley,SB,318903.64,677010.95
Riverside,"In car park at bottom of Brae",No,"Half Edinburgh",WB,318615.58,676471.95
"Barnton Grove","At bus stop 246210",Yes,"Derby Slimline",SB,318573.45,675023.08
"Braehead Drive","Haugh Park play zrea",No,"Half Edinburgh",EB,318094.86,675433.95
"Cramond Glebe Road","Top of steps from prom",Yes,Amberol,NB,318965.81,677092.6
"Cramond Glebe Road","At junction with Cramond  Road North",No,"Half Edinburgh",EB,319023.59,676584.87
"Cramond Road North","Bus stop at 27",No,"Half Edinburgh",WB,319213.61,676358.44
"Cramond Road North","At bus stop by cramond place",No,"Half Edinburgh",WB,319093.56,676490.39
"Turnhouse Road","By changing rooms",No,"Half Edinburgh",SB,318713.89,672720.55
"Turnhouse Road","North corner of Leisure Centre",Yes,"Derby Standard Green",SB,318774.06,672596.71
"Allan Park","Outside recycling site at Leisure Centre",Yes,Neopolitan,"Not Applicable",311830.35,674835.99
"Almondhill Road","opposite pathway into new development","Not Applicable","Derby Standard",SB,312815.37,674707.33
"Carmel Road","At entrance to Allison Park",No,"Derby Slimline","Not Applicable",312092.82,674474.66
"Gateside Road","By phone box on junction of New Liston Road",No,"Derbt Slimline",NB,312380.21,674130.41
"Gateside Road","On corner half way up",Yes,"Derby Standard",WB,312130.27,674148.18
"Gateside Road","In kdis play area",Yes,"Derby Slimline Green",NB,311918.47,674093.58
"Newliston Road","Outside number",Yes,"Derby Slimline",SB,311935.74,673483.5
"Newliston Road","At bus stop opposite cottage",Yes,"Derby Standard",SB,312399.81,674192.91
"Newliston Road","At number 4 against railing",Yes,"Derby Standard",NB,312384.98,674154.68
"Old Liston Road","at street light 07FG",Yes,"Derby Slimline",NB,312144.75,672658.03
"Old Liston Road","At bus terminus",Yes,"Derby Slimline",NB,312141.43,672509.16
"Old Liston Road","At bus near garage",Yes,"Derby Slimline",SB,312379.89,672523.04
"Old Liston Road","Outside RBS",Yes,"Derby Slimline",NB,312138.72,672607.92
"Main Street","at bus stop 246060","Not Applicable","Not Applicable",WB,320955.31,675457.04
"Main Street","Opposite Greggs",Yes,"Derby Standard",WB,320624.43,675457.27
"Main Street","Outside Bank",Yes,"Derby Standard",EB,320554.36,675453.3
"Main Street","Outside Church",Yes,"Derby Standard",EB,320817.94,675463.14
"Main Street","Bus stop at  McColls",Yes,"Derby Standard",WB,320759.59,675444.51
"Main Street","Outside The Norhet",Yes,"Derby Standard",EB,320661.24,675454.84
"Quality Street","at bus stop 203660",Yes,"Derby Standard",NB,320597.34,675250.71
"Quality Street",,Yes,"Derby Standard Green",SB,320464.14,675252.74
"Quality Street","By bench",Yes,"Derby Slimline Green",SB,320474.45,675315.73
"Cramond Road North","at bus stop 203730",Yes,"Derby Slimline",SB,319032.23,676568.71
"Gamekeeper's Road","At corner with Whitehouse Road",No,"Half Edinburgh",EB,318531.29,675966.68
"Ashburnham Gardens","End of lane",Yes,Barnsley,EB,313564.5,678106.39
"Ashburnham Road","Outside School gates",No,"Half Edinburgh",EB,313571.21,677883.35
"Ashburnham Road","At School gates",No,"Half Edinburgh",EB,313570.3,677897.33
"Bo'Ness Road","At Lamppost 38 gz",No,"Half Edinburgh",WB,312402.85,678320.5
"Bo'Ness Road","Opposite number 03",No,"Half Edinburgh",EB,312424.1,678338.95
"Bo'Ness Road","At lamppost 13gz",No,Amberol,WB,311809.18,678160.06
"Bo'Ness Road","At bus stop",Yes,Amberol,EB,312133.73,678288.68
"Bo'Ness Road","Opposite Lamppost 25gz",No,Amberol,EB,312199.94,678304.85
"Bo'Ness Road","opposite  Lampostp 25gz",Yes,Amberol,EB,311837.69,678180.18
"Bo'Ness Road","Outside play park at school entrance",No,"Half Edinburgh",WB,312007.07,678224.91
"Bo'Ness Road","Lamppost GZ02",No,"Half Edinburgh",EB,311506.19,677948.75
"Bo'Ness Road","Lamppost 03 GZ",Yes,Barnsley,WB,311516.25,677944.84
"Bo'Ness Road","at bus stop 203270",Yes,Amberol,EB,311543.34,677987.26
"Builyeon Road","At footpath to Echline",No,Neopolitan,EB,311757.74,677834.47
"Builyeon Road","At bus stop opposite longcrook",No,"Half Edinburgh",WB,312152.42,677679.87
"Builyeon Road","Opposite paths to Echline",No,"Not Applicable",WB,311755.64,677823.66
"Burgess Road","Playing field",No,"Half Edinburgh","Not Applicable",312999.34,678001.29
"Burgess Road","side entrance to primary school",No,"Half Edinburgh",EB,313080.69,677996.73
"Burgess Road","Opposite School",No,Topsy,WB,312989.61,678004.8
"Burgess Road","Playing field",No,"Half Edinburgh","Not Applicable",313031.19,677997.38
"Canmore Street","In play area",No,"Half Edinburgh","Not Applicable",312687.46,677947.69
"Carlowrie Avenue","On grass opposite No. 1",No,Amberol,SB,314303.92,677206.25
"Carlowrie Crescent","Outside kids play area opposite 21",No,Amberol,WB,314432.12,677262.68
"Carlowrie Crescent","Within kids play area",No,Brunel,WB,314387.19,677224.07
"Dundas Avenue","on corner of Stewart Clark Avenue",Yes,Neopolitan,WB,313384,677781.64
"Dundas Avenue","On corner of William Black Place",No,Neopolitan,WB,313163.23,677810.82
"Dundas Avenue","In play area by leisure Centre","Not Applicable","Half Edinburgh",WB,313498.51,677751.7
"Echline Avenue","Play park at Stoneyflats",No,Routemaster,"Not Applicable",312168.27,678056.32
"Echline Avenue","Play park at Stoneyflats",No,Routemaster,"Not Applicable",312166.9,678071.4
"Echline Avenue","Before end of avenue on grass verge",No,"Half Edinburgh",NB,312170.09,678232.29
"Echline Gardens","At junction with gardens",No,Barnsley,EB,311792.15,678021.84
"Echline Rigg","At entrance to play area",No,"Half Edinburgh",WB,312030.59,678216.75
"Hopetoun Road","Outside Number 02",Yes,Amberol,WB,312520.26,678352.92
"Hopetoun Road","Opposite  police station",Yes,Brunel,EB,312822.69,678432.3
"Hopetoun Road","Opposite  Church",Yes,Brunel,WB,312863.49,678409.39
"Hopetoun Road","Outside Church",Yes,Brunel,EB,312867.97,678417.21
"Old Liston Road","Bs stop opposite 16",No,Neopolitan,SB,312154.28,672635.65
"Old Liston Road","Opposite 7",Yes,"Derby Standard",EB,312142.31,672755.12
"Pentland View Road","Outside School Gtes",Yes,Neopolitan,NB,312112.72,674582.32
"The Glebe","At top of steps at 79",No,"Half Edinburgh",NB,312336.09,674357.03
"The Glebe","Outside Health Centre down Brae",Yes,Neopolitan,EB,312427.62,674530.87
"Toddshill Road","In kids play area at Allison Park",No,"Half Edinburgh",WB,312044.94,674384.24
"Toddshill Road","in play park","Not Applicable","Half Edinburgh","Not Applicable",312038.75,674370.27
"Toddshill Road","In kids play area at Allison Park","Not Applicable","Half Edinburgh","Not Applicable",312072.29,674373.47
"Wellflats Road","On Cyclpath at Almond",Yes,"Half Edinburgh",EB,312669.97,674309.34
"Wellflats Road","On ffootpath after 28",No,"Half Edinburgh",EB,312822.1,674330.67
"Quality Street","Opposite 29","Not Applicable","Derby Slimline",NB,320561.83,675336.29
"Silverknowes Parkway","At bus terminus",Yes,"Derby Standard",EB,320761.26,676209.17
"Silverknowes Parkway","By bottlebanks at Silverknowe Golf Course car park",Yes,"Derby Standard",EB,320715.66,676234.37
"Silverknowes Parkway","Opposite bus terminus","Not Applicable","Not Applicable","Not Applicable",320735.46,676174.97
"Silverknowes Road","bus stop 203860","Not Applicable","Not Applicable",SB,320713.64,676101.55
"Silverknowes Road","at bus stop opposite shops at no 50",No,"Half Edinburgh",NB,320796.36,675880.48
"Silverknowes Road","Outside connoisseur travel services",Yes,"Derby Slimline",SB,320822.62,675867.06
"Silverknowes Road East","At bus stop 203889",No,Amberol,EB,321026.55,675565.68
"Silverknowes Road East","at bus stop 245990","Not Applicable","Not Applicable",NB,320952.99,675603.33
"Silverknowes Road East","at bus stop 203890","Not Applicable","Not Applicable","Not Applicable",321168.54,675514.42
"Silverknowes Road East","at bus stop 245980","Not Applicable","Derby Standard",WB,321133.57,675515.37
"Silverknowes Road East","at bus stop 203875","Not Applicable","Not Applicable",SB,320896.63,675705.15
"South Barnton Avenue","At triangle grass area",Yes,Neopolitan,WB,320318.58,675547.03
"The Green","At top of The Green",Yes,"Derby Standard",NB,320730.36,675465.22
"Loch Road","opposit number  2",Yes,"Derbt Slimline",NB,312932.81,678084.59
"Morison Gardens","Scotmid car park",No,"Half Edinburgh","Not Applicable",312842.25,678215.96
"Ochil Court","On corner of Stewart Clark Avenue",Yes,Topsy,SB,313400.94,677705.77
"Rose Lane","Car park",No,Neopolitan,EB,312822.69,678494.35
"Rose Lane","Binks car park",Yes,Neopolitan,EB,312889.99,678478.3
"Rose Lane","Binks car park",No,Neopolitan,EB,312822.18,678485.59
"Rose Lane","Church yard",No,Topsy,EB,312870.76,678472.56
"Rose Lane","Car park",Yes,Neopolitan,EB,312890.33,678484.85
"Rose Lane","Church yard",No,Topsy,EB,312866.85,678450.75
"Scotstoun Avenue","Bus stop at Sommervile",No,Topsy,WB,313676.67,677493.31
"Scotstoun Avenue","At bus stop",Yes,Topsy,WB,313540.81,677472.84
"Scotstoun Avenue","At bus stop",Yes,Neopolitan,WB,313304.82,677426.96
"Scotstoun Avenue","At bus stop opposite Moubry grove",No,Topsy,WB,313099.25,677500.35
"Society Road","In George IV Park",No,Routemaster,EB,312123.28,678477.92
"Society Road","In George IV Park",No,"Half Edinburgh",EB,312114.05,678468.18
"Stewart Clark Avenue","Kempston place at junction with steeart clark avenue",Yes,Amberol,WB,313292.69,677677.98
Stoneyflatts,"At Stoneyflats",Yes,Topsy,NB,312196.04,678048.09
"The Loan","0pposite 22",No,"Half Edinburgh",NB,312908.21,678246.15
"The Loan","Scotmid Carpark at bottle bank",Yes,"Derby Standard",NB,312906.47,678230.36
"The Loan","Opposite 15",Yes,"Derby Standard",SB,312912.13,678347.89
"Cammo Walk","In car park at walkway entrance",No,"Half Edinburgh",SB,317723.4,674451.42
"Cammo Walk","At entrance to estate",No,Barnsley,WB,317780.76,674856.18
"Cammo Walk","At start of walkway",No,Barnsley,WB,317728.68,674470.9
"Silverknowes Drive","O/s 36",Yes,"Wybone S/L",EB,320677.66,675689.09
