Site,Location,Ashtray,Type,Direction,Easting,Northing
"Craigentinny Road","Start of shops",Yes,"Derby Standard",WB,328795.42,674728.31
"Craigentinny Road","Outside number 41at bus stop",Yes,Wybone,EB,328930.05,674718.48
"Craigentinny Road","At bus stop opposite 41",Yes,Topsy,WB,328922.98,674703.26
"Craigentinny Road","At bus stop after Craigentinny avenue",Yes,Neopolitan,WB,329090.87,674706.11
"Craigentinny Road","Outside number 19",Yes,Wybone,EB,328752.65,674832.36
"Hamilton Terrace","St Johns School Gates",Yes,Topsy,WB,330079.93,673442.39
"Hamilton Terrace","St Johns School Gates",Yes,Topsy,WB,330075.1,673465.59
"Seafield Road","Bus stop near Crematorium",Yes,Neopolitan,WB,328539.72,675807.83
"Seafield Road East","Outside news agent at King's Road",Yes,Barnsley,EB,329988.31,674442.24
"The Causeway","Opp church",No,Amberol,WB,328355.68,672634.22
"Jock's Lodge","Bus stop at meadowbank houae",Yes,"Derby Standard",NB,328224.69,674157.88
"Restalrig Crescent","At entrance to Quarryhole Cycleway",Yes,Wybone,EB,328279.53,675432.28
"Restalrig Crescent","Outside number 02",Yes,Neopolitan,SB,328087.24,675161.85
"Fishwives Causeway","Footbridge leading to Mountcastle",Yes,"Derby Slimline",EB,329233.64,674218.16
"Seafield Street","At bus stop beside ent to walkway",Yes,Neopolitan,NB,328604.38,675716.16
"Seafield Street","Bus stop at entrance to walkway",Yes,Topsy,NB,0,0
"Lady Nairne Grove","Top of shops",Yes,"Derby Standard",SB,328799.42,673149.42
"Hamilton Terrace","2nd gate at primary",Yes,Topsy,WB,330066.01,673484.93
"Ulster Crescent","Top of ulster crescent",Yes,"Derby Standard Green",SB,328358.71,673469.89
"Ulster Crescent","Top ulster crescent",Yes,"Derby Slimline",SB,328358.25,673464.88
"Northfield Farm Avenue","Spar shop",Yes,Wybone,NB,329336.3,673591.46
"Northfield Farm Avenue","At spar","Not Applicable",Wybone,NB,329333.06,673599.86
"Lochend Quadrant","Corner of quad and drive",Yes,Wybone,WB,328017.28,674759.73
"Fillyside Road","Opp seafield tip",Yes,"Derby Slimline Green",SB,329258.62,675293.9
"Northfield Broadway","Opp bookies on broadway",Yes,"Derby Double Slimline",SB,329106.82,673300.33
"Lochend Butterfly Way","Opp butterfly way in park",Yes,"Derby Standard Green","Not Applicable",327507.22,674942.73
"Lochend Butterfly Way","Top of lochend park",Yes,"Derby Standard Green","Not Applicable",327557.72,674975.28
"Lochend Butterfly Way","Next to entrance to park.",Yes,"Derby Standard Green","Not Applicable",327553.07,674973.24
"Lochend Butterfly Way","4th bin in park",Yes,"Derby Slimline Green","Not Applicable",327520.91,674958.19
"Mountcastle Drive North","At ent to figgate park",Yes,Neopolitan,SB,329649.84,673578.53
"Restalrig Drive","Side of shop on drive",Yes,Wybone,EB,328292.14,674668.2
"Mountcastle Crescent","Inside park before play area",Yes,"Derby Slimline Green","Not Applicable",329662.2,673799.98
"Lochend Crescent","At grass area opp quadrant",Yes,Wybone,SB,328173.3,674709.37
"Loganlea Road","Bus stop opp loganlea road",Yes,Wybone,EB,328959.75,674719.92
"Lochend Road South","Next to newsagent",Yes,Neopolitan,EB,327883.85,674667.78
"Lochend Road South","1st bin at pitch area",Yes,"Derby Slimline Green","Not Applicable",327799.72,674716.05
"Lochend Road South","2nd bin in park",Yes,"Derby Standard Green","Not Applicable",327781.7,674691.08
"Loganlea Drive","School gate",Yes,Neopolitan,NB,328724.02,674644.66
"Craigentinny Avenue","B/s at no 3",Yes,Neopolitan,NB,329003.67,674345.03
"Craigentinny Avenue","At bank",Yes,"Derby Standard",SB,329038.24,674263.75
"Niddrie House Drive Play Area",Awaiting,Yes,"Wybone S/L","Not Applicable",330090.62,671219.83
"Marionville Road","1st bin in lochend park",Yes,"Derby Standard Green","Not Applicable",327834.02,674552.94
"Marionville Road","3rd bin in park",Yes,"Derby Slimline Green","Not Applicable",327604.03,674721
"Mountcastle Bank","At duck feeding deck",Yes,"Derby Standard Green","Not Applicable",329809.61,673635.82
"South Elixa Place","East lane to park",Yes,"Derby Standard Green","Not Applicable",328791.88,673928.83
"Northfield Drive","2nd bin inside park",Yes,"Derby Slimline Green","Not Applicable",329351.43,673375.46
"Northfield Drive","In play park",No,"Derby Standard Green","Not Applicable",329316.35,673468.77
"Loaning Road","Opp school at junction",Yes,"Derby Slimline",NB,328591.22,674725.35
"Loaning Road","Corner of crescent",Yes,"Derby Slimline",EB,328587.9,674732.31
"Lochend Drive","On lane to gardens",Yes,Wybone,EB,327999.38,674776.28
"Restalrig Gardens","Opp 22",Yes,"Derby Slimline",NB,328303.09,674861.17
"Restalrig Gardens","At lochend house",Yes,Topsy,WB,328421.91,674901.61
"Lochend Park Play Area",,Yes,"Brox S/L","Not Applicable",327651.3,674950.77
"Figgate Park Play Area","Inside play park",Yes,Barnsley,"Not Applicable",329707.7,673774.85
"Lochend Park","1st bin in park opp loch inn",Yes,"Derby Standard Green","Not Applicable",327656.87,675004
"London Road","After macdonalds",Yes,"Derby Slimline",WB,327646.65,674287.01
"Meadowfield Drive","In play park",No,"Derby Standard","Not Applicable",328624.18,673404.92
